Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%\
165,Ryan O'Reilly\\oreilry01,25,C,BUF,27,7,11,18,-1,6,4,3,0,2,4,7,0,85,8.2,581,21:32,12,3,362,273,57.0\
166,Alex Pietrangelo\\pietral01,27,D,STL,37,7,11,18,-5,14,4,3,0,2,8,3,0,83,8.4,925,25:01:00,78,19,0,0,\
167,Paul Stastny\\stastpa01,31,C,STL,37,7,11,18,1,24,5,2,0,2,7,4,0,55,12.7,736,19:53,19,28,424,359,54.2\
168,Drew Doughty\\doughdr01,27,D,LAK,37,6,12,18,5,22,4,2,0,0,7,5,0,87,6.9,1005,27:09:00,61,60,1,0,100.0\
169,Brendan Gallagher\\gallabr01,24,RW,MTL,37,6,12,18,4,29,5,1,0,1,11,1,0,102,5.9,563,15:12,12,33,22,33,40.0\
170,Jonathan Toews\\toewsjo01,28,C,CHI,31,6,12,18,0,19,3,3,0,2,9,3,0,82,7.3,644,20:46,11,19,404,286,58.6\
171,Shayne Gostisbehere\\gostish01,23,D,PHI,37,4,14,18,-8,16,3,1,0,1,4,10,0,86,4.7,748,20:13,44,15,0,0,\
172,Gustav Nyquist\\nyquigu01,27,RW,DET,37,4,14,18,-3,6,4,0,0,2,12,2,0,79,5.1,622,16:48,10,28,4,0,100.0\
173,John Carlson\\carlsjo01,27,D,WSH,36,3,15,18,0,0,2,1,0,1,7,7,1,90,3.3,848,23:33,48,34,0,0,\
174,John Klingberg\\klingjo01,24,D,DAL,36,3,15,18,-6,20,3,0,0,1,8,7,0,54,5.6,827,22:58,51,20,0,0,\
175,Damon Severson\\severda01,22,D,NJD,38,3,15,18,-21,35,3,0,0,1,7,8,0,52,5.8,803,21:08,33,38,0,0,\
176,Keith Yandle\\yandlke01,30,D,FLA,38,2,16,18,-2,20,0,2,0,0,9,7,0,92,2.2,852,22:25,43,11,0,0,\
177,Patrick Maroon\\maroopa01,28,LW,EDM,38,11,6,17,9,38,10,1,0,1,4,2,0,75,14.7,589,15:30,7,86,5,7,41.7\
178,P.A. Parenteau\\parenpi01,33,RW,NJD,36,11,6,17,-10,29,8,3,0,2,6,0,0,69,15.9,563,15:38,4,30,4,11,26.7\
179,Derick Brassard\\brassde01,29,C,OTT,37,8,9,17,1,10,7,1,0,1,7,2,0,85,9.4,646,17:27,6,40,304,298,50.5\
180,Troy Brouwer\\brouwtr01,31,RW,CGY,36,8,9,17,-11,18,4,3,1,1,3,5,1,46,17.4,617,17:08,24,76,12,29,29.3\
181,Tomas Tatar\\tatarto01,26,LW,DET,37,8,9,17,-5,14,8,0,0,1,8,1,0,77,10.4,639,17:16,13,42,4,4,50.0\
182,Mark Letestu\\letesma01,31,C,EDM,35,7,10,17,0,9,2,3,2,3,7,2,1,51,13.7,497,14:11,16,35,206,203,50.4\
183,P.K. Subban\\subbapk01,27,D,NSH,29,7,10,17,-11,25,4,3,0,2,6,4,0,80,8.8,727,25:03:00,43,26,0,0,\
184,Nick Bonino\\boninni01,28,C,PIT,38,6,11,17,-4,8,4,1,1,0,8,3,0,62,9.7,629,16:33,47,27,297,301,49.7\
185,Ondrej Palat\\palaton01,25,LW,TBL,33,6,11,17,-2,17,5,1,0,0,6,5,0,53,11.3,593,17:57,21,64,4,7,36.4\
186,Mikko Rantanen\\rantami01,20,RW,COL,32,6,11,17,-16,8,3,3,0,0,7,4,0,50,12,584,18:15,16,6,18,8,69.2\
187,Kris Versteeg\\verstkr01,30,RW,CGY,27,6,11,17,2,8,4,2,0,1,7,4,0,38,15.8,372,13:48,11,2,9,7,56.3\
188,Antoine Roussel\\roussan01,27,LW,DAL,34,5,12,17,5,87,5,0,0,2,9,3,0,41,12.2,533,15:41,26,44,6,5,54.5\
189,Andrej Sekera\\sekeran01,30,D,EDM,36,4,13,17,9,10,3,0,1,0,8,5,0,46,8.7,783,21:44,61,23,0,0,\
190,Matt Niskanen\\niskama01,30,D,WSH,35,2,15,17,7,12,1,1,0,1,13,1,1,67,3,771,22:02,44,56,0,0,\
191,Morgan Rielly\\riellmo01,22,D,TOR,36,1,16,17,-1,11,0,1,0,0,14,2,0,83,1.2,821,22:48,64,18,0,0,\
192,Colton Parayko\\parayco01,23,D,STL,38,0,17,17,0,10,0,0,0,0,12,5,0,96,0,812,21:23,62,35,0,0,\
193,Patrick Marleau\\marlepa01,37,LW,SJS,37,10,6,16,0,10,7,3,0,3,2,4,0,91,11,647,17:30,14,42,21,24,46.7\
194,Bryan Rust\\rustbr01,24,RW,PIT,35,10,6,16,-1,8,10,0,0,1,5,0,1,66,15.2,455,13:01,20,62,1,2,33.3\
195,Anthony Mantha\\manthan01,22,RW,DET,22,9,7,16,10,12,8,1,0,2,6,1,0,54,16.7,372,16:54,16,14,2,2,50.0\
196,Justin Williams\\williju01,35,RW,WSH,36,9,7,16,-2,26,7,2,0,0,5,2,0,79,11.4,565,15:41,22,12,38,29,56.7\
197,Connor Brown\\brownco02,23,RW,TOR,36,7,9,16,5,6,6,1,0,1,8,1,0,59,11.9,542,15:03,28,29,0,2,0.0\
198,Phillip Danault\\danauph01,23,LW,MTL,37,7,9,16,-2,10,7,0,0,2,8,0,1,59,11.9,507,13:42,29,35,172,157,52.3\
199,Jason Demers\\demerja01,28,D,FLA,38,7,9,16,0,18,7,0,0,0,3,4,2,47,14.9,775,20:23,45,45,0,0,\
200,Justin Faulk\\faulkju01,24,D,CAR,30,7,9,16,-9,12,6,1,0,1,5,4,0,94,7.4,693,23:07,31,57,0,0,\
201,Brian Gionta\\giontbr01,38,RW,BUF,36,7,9,16,-3,16,7,0,0,1,8,1,0,74,9.5,620,17:14,13,29,24,18,57.1\
202,Seth Jones\\jonesse01,22,D,CBJ,29,7,9,16,8,10,7,0,0,2,8,1,0,62,11.3,670,23:07,56,31,0,0,\
203,Reilly Smith\\smithre01,25,RW,FLA,36,7,9,16,-6,8,2,4,1,2,7,2,0,73,9.6,691,19:12,17,27,1,1,50.0\
204,Antoine Vermette\\vermean01,34,C,ANA,39,7,9,16,-6,22,4,3,0,0,6,3,0,53,13.2,632,16:12,30,33,442,234,65.4\
205,Colin Wilson\\wilsoco01,27,LW,NSH,35,6,10,16,2,10,3,3,0,0,10,0,0,61,9.8,517,14:47,14,23,1,5,16.7\
206,Max Domi\\domima01,21,LW,ARI,26,5,11,16,-5,22,4,1,0,1,8,3,0,58,8.6,449,17:16,11,18,3,4,42.9\
207,Carl Hagelin\\hagelca01,28,LW,PIT,38,5,11,16,10,4,5,0,0,1,10,0,1,82,6.1,602,15:51,14,38,3,2,60.0\
208,Zach Hyman\\hymanza01,24,C,TOR,36,5,11,16,2,18,5,0,0,2,11,0,0,84,6,605,16:48,26,50,9,12,42.9\
209,Mark Streit\\streima01,39,D,PHI,31,5,11,16,-6,14,4,1,0,1,6,5,0,57,8.8,616,19:53,33,16,0,0,\
210,Jared Spurgeon\\spurgja01,27,D,MIN,32,4,12,16,23,12,4,0,0,1,9,2,1,60,6.7,762,23:48,63,20,0,0,\
211,Anze Kopitar\\kopitan01,29,C,LAK,32,3,13,16,-2,12,3,0,0,0,8,4,1,70,4.3,672,21:00,21,40,386,355,52.1\
212,Chris Kunitz\\kunitch01,37,LW,PIT,32,3,13,16,7,22,3,0,0,2,10,3,0,59,5.1,487,15:13,9,100,3,5,37.5\
213,Tomas Plekanec\\plekato01,34,C,MTL,37,3,13,16,9,10,1,1,1,2,10,3,0,65,4.6,644,17:25,25,36,344,341,50.2\
214,Ivan Provorov\\provoiv01,20,D,PHI,39,3,13,16,-3,14,3,0,0,1,11,2,0,67,4.5,828,21:14,77,55,0,0,\
215,Sami Vatanen\\vatansa01,25,D,ANA,36,2,14,16,4,12,0,2,0,0,6,8,0,48,4.2,796,22:07,71,40,0,0,\
216,Dmitry Orlov\\orlovdm01,25,D,WSH,36,1,15,16,13,24,1,0,0,0,13,2,0,57,1.8,686,19:03,44,58,0,0,\
217,Brady Skjei\\skjeibr01,22,D,NYR,38,1,15,16,1,18,1,0,0,0,12,3,0,49,2,630,16:34,32,68,0,1,0.0\
218,Dylan Larkin\\larkidy01,20,C,DET,37,11,4,15,-12,17,8,3,0,1,4,0,0,107,10.3,612,16:33,8,19,71,94,43.0\
219,Richard Panik\\panikri01,25,LW,CHI,40,9,6,15,0,12,7,2,0,2,5,1,0,68,13.2,561,14:02,21,88,0,5,0.0\
220,Matt Moulson\\moulsma01,33,LW,BUF,36,8,7,15,-3,4,1,7,0,1,3,4,0,69,11.6,479,13:18,11,23,0,0,\
221,Tobias Rieder\\riedeto01,24,RW,ARI,35,8,7,15,-6,2,6,2,0,0,4,2,1,78,10.3,617,17:38,15,13,2,3,40.0\
222,Zack Smith\\smithza01,28,C,OTT,35,8,7,15,6,31,6,0,2,0,7,0,0,69,11.6,559,15:59,18,58,140,134,51.1\
223,Alexandre Burrows\\burroal01,35,RW,VAN,34,7,8,15,0,33,7,0,0,0,7,0,1,69,10.1,495,14:33,6,23,0,4,0.0\
224,Zach Parise\\parisza01,32,LW,MIN,27,6,9,15,-3,16,4,2,0,0,7,2,0,82,7.3,494,18:17,37,21,3,1,75.0\
225,Andrew Shaw\\shawan01,25,C,MTL,29,6,9,15,12,58,5,1,0,0,7,2,0,58,10.3,437,15:04,13,74,115,92,55.6\
226,Mathew Dumba\\dumbama01,22,D,MIN,36,5,10,15,11,37,3,2,0,1,6,4,0,71,7,711,19:45,29,41,0,0,\
227,Mark Giordano\\giordma01,33,D,CGY,39,5,10,15,8,34,1,2,2,1,4,5,1,80,6.3,946,24:15:00,98,33,0,0,\
228,Nick Leddy\\leddyni01,25,D,NYI,35,5,10,15,-12,6,3,2,0,0,5,5,0,63,7.9,800,22:51,56,34,0,0,\
229,Dion Phaneuf\\phanedi01,31,D,OTT,37,5,10,15,-7,51,2,3,0,1,5,5,0,81,6.2,855,23:07,82,64,0,0,\
230,Mika Zibanejad\\zibanmi01,23,C,NYR,19,5,10,15,1,6,5,0,0,0,5,5,0,47,10.6,317,16:41,10,6,183,158,53.7\
231,Dustin Brown\\browndu01,32,RW,LAK,35,4,11,15,-11,10,1,2,1,1,9,2,0,72,5.6,560,16:01,13,99,0,2,0.0\
232,Brandon Dubinsky\\dubinbr01,30,C,CBJ,33,3,12,15,10,24,3,0,0,2,9,3,0,42,7.1,586,17:46,23,87,321,302,51.5\
233,Jesper Fast\\fastje01,25,RW,NYR,39,3,12,15,7,16,3,0,0,0,12,0,0,35,8.6,558,14:18,19,59,9,16,36.0\
234,Brayden Point\\pointbr01,20,C,TBL,36,3,12,15,-5,10,0,3,0,0,8,4,0,65,4.6,567,15:44,11,16,46,38,54.8\
235,Matt Stajan\\stajama01,33,C,CGY,39,3,12,15,7,12,3,0,0,1,10,0,2,31,9.7,515,13:12,28,28,199,182,52.2\
236,Nikita Zaitsev\\zaitsni01,25,D,TOR,36,1,14,15,-4,12,1,0,0,0,10,4,0,52,1.9,801,22:15,56,78,0,0,\
237,Josh Anderson\\anderjo05,22,RW,CBJ,35,8,6,14,10,41,8,0,0,2,6,0,0,52,15.4,426,12:11,22,66,6,17,26.1\
238,Martin Hanzal\\hanzama01,29,C,ARI,32,8,6,14,-16,35,5,3,0,1,3,3,0,71,11.3,589,18:25,23,72,354,298,54.3\
239,Matt Cullen\\cullema01,40,C,PIT,38,7,7,14,4,12,6,0,1,1,6,1,0,38,18.4,515,13:33,10,20,247,226,52.2\
240,Markus Granlund\\granlma01,23,C,VAN,39,7,7,14,-15,10,6,1,0,1,5,2,0,65,10.8,660,16:55,3,17,37,55,40.2\
241,Bobby Ryan\\ryanbo01,29,RW,OTT,32,7,7,14,1,10,6,1,0,0,5,2,0,52,13.5,490,15:19,17,48,1,2,33.3\
242,Jordan Staal\\staaljo01,28,C,CAR,29,7,7,14,-1,11,4,2,1,1,7,0,0,61,11.5,533,18:22,11,59,284,189,60.0\
243,Jay Beagle\\beaglja01,31,RW,WSH,36,6,8,14,11,8,5,0,1,2,6,0,2,45,13.3,473,13:09,21,23,283,196,59.1\
244,Jordan Martinook\\martijo01,24,LW,ARI,37,6,8,14,-2,16,5,1,0,0,7,0,1,60,10,609,16:28,35,31,234,289,44.7\
245,Brandon Pirri\\pirribr01,25,RW,NYR,37,6,8,14,0,15,2,4,0,3,4,4,0,57,10.5,464,12:33,11,21,92,74,55.4\
246,Devin Shore\\shorede01,22,C,DAL,38,6,8,14,-1,4,6,0,0,0,5,3,0,55,10.9,505,13:18,32,19,159,169,48.5\
247,Jason Pominville\\pominja01,34,RW,MIN,36,5,9,14,1,2,5,0,0,0,7,2,0,72,6.9,517,14:22,26,26,17,19,47.2\
248,Andre Burakovsky\\burakan01,21,LW,WSH,33,4,10,14,2,10,4,0,0,0,9,1,0,57,7,462,14:01,12,15,0,2,0.0\
249,Nic Dowd\\dowdni01,26,C,LAK,33,4,10,14,-7,8,3,1,0,2,6,4,0,41,9.8,442,13:23,18,81,176,189,48.2\
250,T.J. Brodie\\broditj01,26,D,CGY,39,3,11,14,-17,12,1,1,1,0,6,4,1,37,8.1,909,23:19,52,14,0,0,\
251,Jonas Brodin\\brodijo01,23,D,MIN,36,3,11,14,1,14,1,2,0,2,9,2,0,52,5.8,727,20:12,62,10,0,0,\
252,Cal Clutterbuck\\cluttca01,29,RW,NYI,35,3,11,14,6,16,3,0,0,1,10,1,0,59,5.1,514,14:40,15,127,2,2,50.0\
253,Ian Cole\\coleia01,27,D,PIT,38,2,12,14,15,42,2,0,0,0,11,1,0,42,4.8,709,18:40,84,83,0,0,\
254,Jaccob Slavin\\slavija01,22,D,CAR,36,1,13,14,6,4,1,0,0,0,8,4,1,53,1.9,838,23:17,78,14,0,0,\
255,Brian Boyle\\boylebr01,32,C,TBL,36,10,3,13,7,31,7,3,0,0,2,1,0,59,16.9,472,13:07,20,60,114,111,50.7\
256,Rene Bourque\\bourqre01,35,RW,COL,35,9,4,13,-13,25,7,2,0,2,4,0,0,62,14.5,525,14:59,16,51,0,3,0.0\
257,Evander Kane\\kaneev01,25,LW,BUF,25,8,5,13,-10,37,7,1,0,1,2,3,0,77,10.4,464,18:34,10,48,30,35,46.2\
258,Nick Ritchie\\ritchni01,21,LW,ANA,37,8,5,13,-3,22,7,1,0,1,5,0,0,69,11.6,494,13:20,9,126,2,3,40.0\
259,Patrik Berglund\\berglpa01,28,C,STL,38,6,7,13,-6,16,6,0,0,0,6,1,0,63,9.5,571,15:02,22,69,252,223,53.1\
260,Ryan Hartman\\hartmry01,22,RW,CHI,35,6,7,13,5,14,6,0,0,2,7,0,0,67,9,441,12:36,14,58,7,9,43.8\
261,Leo Komarov\\komarle01,30,C,TOR,36,6,7,13,5,17,4,1,1,1,5,2,0,48,12.5,614,17:04,22,121,38,49,43.7\
262,Craig Smith\\smithcr01,27,RW,NSH,35,6,7,13,0,24,4,2,0,0,6,1,0,65,9.2,492,14:03,6,44,41,47,46.6\
263,Ryan Strome\\stromry01,23,RW,NYI,33,6,7,13,-4,16,5,1,0,1,5,2,0,58,10.3,469,14:12,10,23,94,134,41.2\
264,Radek Faksa\\faksara01,23,C,DAL,38,5,8,13,5,25,5,0,0,0,8,0,0,69,7.2,620,16:19,40,60,288,333,46.4\
265,John Moore\\moorejo01,26,D,NJD,37,5,8,13,-7,33,5,0,0,0,6,2,0,51,9.8,700,18:56,38,31,0,0,\
266,Shane Prince\\princsh01,24,C,NYI,29,5,8,13,-8,6,4,1,0,2,7,1,0,46,10.9,370,12:45,8,26,3,2,60.0\
267,Casey Cizikas\\cizikca01,25,C,NYI,30,4,9,13,8,18,4,0,0,1,8,1,0,33,12.1,430,14:19,36,72,225,238,48.6\
268,Elias Lindholm\\lindhel01,22,C,CAR,30,4,9,13,-5,6,4,0,0,0,5,2,2,62,6.5,539,17:58,27,40,153,140,52.2\
269,Vladislav Namestnikov\\namesvl01,24,C,TBL,34,4,9,13,-7,17,2,2,0,0,6,3,0,49,8.2,487,14:19,15,27,73,81,47.4\
270,Jean-Gabriel Pageau\\pageaje01,24,C,OTT,37,4,9,13,5,6,4,0,0,1,9,0,0,67,6,593,16:01,30,76,197,166,54.3\
271,Dennis Seidenberg\\seidede01,35,D,NYI,29,4,9,13,17,18,4,0,0,0,9,0,0,31,12.9,560,19:18,62,43,0,0,\
272,Mattias Ekholm\\ekholma01,26,D,NSH,36,1,12,13,-3,14,1,0,0,0,9,2,1,54,1.9,849,23:35,59,25,0,0,\
273,Alex Goligoski\\goligal01,31,D,ARI,37,1,12,13,-13,8,1,0,0,0,8,4,0,53,1.9,874,23:37,67,53,0,0,\
274,Andrew Ladd\\laddan01,31,LW,NYI,36,8,4,12,-9,22,7,1,0,1,4,0,0,59,13.6,580,16:06,28,39,2,2,50.0\
275,Dominic Moore\\mooredo01,36,C,BOS,40,8,4,12,4,18,6,0,2,1,4,0,0,46,17.4,512,12:49,22,30,180,156,53.6\
276,Patrice Bergeron\\bergepa01,31,C,BOS,37,7,5,12,-1,8,4,3,0,4,4,1,0,130,5.4,713,19:17,24,29,487,361,57.4\
277,Jack Eichel\\eicheja01,20,C,BUF,15,7,5,12,1,4,5,2,0,2,2,3,0,60,11.7,287,19:09,11,11,71,95,42.8\
278,Torrey Mitchell\\mitchto01,32,C,MTL,37,7,5,12,7,22,7,0,0,1,5,0,0,36,19.4,499,13:29,28,20,227,201,53.0\
279,Gabriel Landeskog\\landega01,24,LW,COL,27,6,6,12,-11,28,4,2,0,2,6,0,0,54,11.1,504,18:40,12,64,20,25,44.4\
280,Bryan Little\\littlbr01,29,C,WPG,16,6,6,12,1,4,4,2,0,1,5,1,0,40,15,270,16:54,3,5,176,125,58.5\
281,Jason Chimera\\chimeja01,37,LW,NYI,36,5,7,12,-5,18,5,0,0,0,7,0,0,50,10,468,13:00,18,61,9,14,39.1\
282,Marcus Foligno\\foligma01,25,LW,BUF,36,5,7,12,4,32,5,0,0,0,7,0,0,47,10.6,565,15:41,32,110,1,2,33.3\
283,William Karlsson\\karlswi01,24,C,CBJ,35,5,7,12,10,2,5,0,0,2,6,0,1,51,9.8,497,14:12,7,16,191,240,44.3\
284,Oscar Klefbom\\klefbos01,23,D,EDM,38,5,7,12,-5,0,4,1,0,2,4,3,0,87,5.7,812,21:22,58,22,0,0,\
285,Trevor Lewis\\lewistr01,30,C,LAK,37,5,7,12,-5,10,5,0,0,1,6,1,0,64,7.8,525,14:12,15,87,25,39,39.1\
286,Colton Sceviour\\scevico01,27,C,FLA,37,5,7,12,-10,14,2,1,2,1,5,2,0,69,7.2,553,14:57,29,50,25,20,55.6\
287,Johnny Boychuk\\boychjo01,33,D,NYI,35,4,8,12,1,15,3,0,1,1,7,1,0,74,5.4,693,19:48,74,78,1,0,100.0\
288,Joonas Donskoi\\donskjo01,24,RW,SJS,36,4,8,12,-1,8,3,1,0,0,5,3,0,65,6.2,519,14:24,14,14,6,5,54.5\
289,Christian Dvorak\\dvorach01,20,LW,ARI,33,4,8,12,5,6,4,0,0,0,7,1,0,25,16,444,13:27,23,32,145,173,45.6\
290,Ryan Ellis\\ellisry01,26,D,NSH,28,4,8,12,6,19,4,0,0,2,3,4,1,44,9.1,680,24:17:00,56,34,0,0,\
291,Mikhail Grigorenko\\grigomi01,22,C,COL,35,4,8,12,-6,14,4,0,0,0,5,3,0,44,9.1,515,14:43,11,12,55,49,52.9\
292,Derek Ryan\\ryande01,30,C,CAR,23,4,8,12,-5,6,1,2,1,2,4,4,0,26,15.4,316,13:45,12,14,107,90,54.3\
293,Trevor Daley\\daleytr01,33,D,PIT,33,3,9,12,6,27,2,1,0,0,5,3,1,47,6.4,681,20:38,56,16,0,0,\
294,Paul Martin\\martipa01,35,D,SJS,37,3,9,12,9,12,3,0,0,1,9,0,0,26,11.5,695,18:47,57,20,0,0,\
295,Michael Matheson\\mathemi01,22,D,FLA,37,3,9,12,-2,14,3,0,0,0,8,1,0,90,3.3,755,20:24,47,30,1,0,100.0\
296,Dennis Wideman\\widemde01,33,D,CGY,32,3,9,12,2,22,1,2,0,0,7,2,0,58,5.2,674,21:03,38,32,0,0,\
297,Travis Hamonic\\hamontr01,26,D,NYI,33,2,10,12,-14,49,2,0,0,0,9,1,0,54,3.7,686,20:47,70,42,0,0,\
298,Noah Hanifin\\hanifno01,20,D,CAR,36,2,10,12,-9,22,0,2,0,0,6,4,0,51,3.9,617,17:08,23,24,0,0,\
299,Tyler Pitlick\\pitlity01,25,RW,EDM,31,8,3,11,0,6,8,0,0,1,3,0,0,54,14.8,308,9:55,13,70,8,7,53.3\
300,Adam Lowry\\lowryad01,23,C,WPG,39,7,4,11,-2,19,6,1,0,0,1,2,1,52,13.5,613,15:43,23,100,298,318,48.4\
301,Brett Ritchie\\ritchbr01,23,RW,DAL,38,7,4,11,3,19,6,1,0,0,4,0,0,85,8.2,493,12:58,12,64,1,0,100.0\
302,Erik Haula\\haulaer01,25,C,MIN,26,6,5,11,3,10,6,0,0,2,5,0,0,53,11.3,367,14:06,11,15,160,137,53.9\
303,Boone Jenner\\jennebo01,23,C,CBJ,35,6,5,11,1,19,6,0,0,1,4,1,0,77,7.8,533,15:14,30,86,42,31,57.5\
304,Johan Larsson\\larssjo02,24,C,BUF,36,6,5,11,-7,20,5,1,0,2,5,0,0,49,12.2,607,16:51,23,33,261,271,49.1\
305,Alex Chiasson\\chiasal01,26,RW,CGY,39,5,6,11,3,23,4,0,1,1,5,1,0,49,10.2,540,13:51,4,38,1,15,6.3\
306,Austin Czarnik\\czarnau01,24,C,BOS,36,5,6,11,-4,10,5,0,0,1,4,2,0,49,10.2,496,13:46,21,14,32,53,37.6\
307,Micheal Ferland\\ferlami01,24,LW,CGY,39,5,6,11,-5,19,3,2,0,0,5,1,0,47,10.6,425,10:53,11,74,0,4,0.0\
308,Nikolai Kulemin\\kulemni01,30,LW,NYI,34,5,6,11,2,6,5,0,0,1,6,0,0,35,14.3,464,13:39,24,40,8,4,66.7\
309,Tim Schaller\\schalti01,26,C,BOS,34,5,6,11,-8,21,5,0,0,1,6,0,0,54,9.3,436,12:49,18,38,22,21,51.2\
310,Shane Doan\\doansh01,40,RW,ARI,37,4,7,11,-3,30,3,1,0,0,6,1,0,80,5,562,15:11,16,59,69,76,47.6\
311,Ben Hutton\\huttobe01,23,D,VAN,39,4,7,11,-13,18,3,1,0,1,2,5,0,70,5.7,821,21:03,58,26,0,0,\
312,Lauri Korpikoski\\korpila01,30,LW,DAL,37,4,7,11,1,8,4,0,0,0,6,0,1,64,6.3,509,13:46,16,20,0,4,0.0\
313,Jori Lehtera\\lehtejo01,29,C,STL,33,4,7,11,-2,12,4,0,0,1,6,1,0,33,12.1,511,15:28,15,30,223,213,51.1\
314,Thomas Hickey\\hicketh01,27,D,NYI,36,3,8,11,4,12,3,0,0,1,7,1,0,42,7.1,656,18:14,61,45,0,0,\
315,Derek Forbort\\forbode01,24,D,LAK,37,2,9,11,4,40,2,0,0,0,9,0,0,37,5.4,708,19:09,79,69,1,0,100.0\
316,Andrew MacDonald\\macdoan01,30,D,PHI,31,2,9,11,-1,8,2,0,0,0,9,0,0,20,10,611,19:43,64,15,0,0,\
317,Erik Johnson\\johnser01,28,D,COL,23,1,10,11,-2,4,1,0,0,0,5,5,0,47,2.1,506,22:01,62,44,0,0,\
318,Anton Stralman\\stralan01,30,D,TBL,29,1,10,11,2,4,1,0,0,0,5,5,0,44,2.3,664,22:54,27,40,0,0,\
319,Aaron Ekblad\\ekblaaa01,20,D,FLA,38,7,3,10,-17,36,5,2,0,2,1,2,0,129,5.4,870,22:54,31,63,0,0,\
320,Kevin Labanc\\labanke01,21,RW,SJS,24,7,3,10,5,12,7,0,0,2,2,1,0,37,18.9,315,13:09,4,9,0,2,0.0\
321,Chris Stewart\\stewach02,29,RW,MIN,36,7,3,10,0,47,7,0,0,0,2,1,0,33,21.2,378,10:30,10,43,1,4,20.0\
322,Matt Read\\readma01,30,RW,PHI,28,6,4,10,-2,2,4,2,0,0,4,0,0,42,14.3,411,14:41,15,45,3,8,27.3\
323,Dwight King\\kingdw01,27,LW,LAK,37,5,5,10,3,6,5,0,0,1,5,0,0,54,9.3,566,15:19,14,58,3,6,33.3\
324,Chris VandeVelde\\vandech01,29,C,PHI,39,5,5,10,-4,8,5,0,0,0,5,0,0,38,13.2,465,11:55,29,57,19,14,57.6\
325,Nick Cousins\\cousini01,23,C,PHI,34,4,6,10,-5,21,3,1,0,0,5,1,0,44,9.1,377,11:05,11,34,72,107,40.2\
326,Carl Soderberg\\soderca01,31,C,COL,37,4,6,10,-7,14,3,1,0,0,6,0,0,70,5.7,586,15:50,26,19,199,187,51.6\
327,Scott Wilson\\wilsosc01,24,LW,PIT,35,4,6,10,-1,4,4,0,0,1,6,0,0,63,6.3,388,11:05,14,83,1,0,100.0\
328,Brian Campbell\\campbbr02,37,D,CHI,39,3,7,10,7,12,2,1,0,0,5,2,0,39,7.7,732,18:47,42,24,0,0,\
329,Marko Dano\\danoma01,22,C,WPG,28,3,7,10,2,8,1,2,0,0,7,0,0,31,9.7,321,11:28,10,63,1,3,25.0\
330,Chris Tierney\\tiernch01,22,C,SJS,37,3,7,10,-5,0,2,0,1,1,6,0,1,38,7.9,522,14:07,21,18,186,206,47.4\
331,Jordie Benn\\bennjo01,29,D,DAL,35,2,8,10,1,20,2,0,0,0,5,2,1,34,5.9,664,18:59,67,24,0,0,\
332,Jack Johnson\\johnsja02,30,D,CBJ,35,2,8,10,21,18,1,1,0,0,8,0,0,42,4.8,757,21:38,60,42,1,0,100.0\
333,Marcus Kruger\\krugema01,26,C,CHI,39,2,8,10,5,18,2,0,0,0,8,0,0,43,4.7,546,14:01,30,15,235,226,51.0\
334,Joel Ward\\wardjo02,36,RW,SJS,35,2,8,10,0,12,1,0,1,1,8,0,0,44,4.5,555,15:51,24,34,89,96,48.1\
335,Radko Gudas\\gudasra01,26,D,PHI,29,1,9,10,1,43,1,0,0,0,8,1,0,48,2.1,574,19:47,75,119,0,0,\
336,David Savard\\savarda01,26,D,CBJ,35,1,9,10,24,22,1,0,0,0,9,0,0,53,1.9,755,21:35,63,57,0,0,\
337,Troy Stecher\\stechtr01,22,D,VAN,30,1,9,10,-3,15,1,0,0,0,5,4,0,74,1.4,625,20:50,30,20,0,0,\
338,Jacob Trouba\\troubja01,22,D,WPG,24,1,9,10,1,16,1,0,0,0,8,0,1,48,2.1,568,23:40,52,34,0,0,\
339,Kevin Klein\\kleinke01,32,D,NYR,35,0,10,10,6,13,0,0,0,0,8,1,1,33,0,614,17:32,77,80,0,0,\
340,Artturi Lehkonen\\lehkoar01,21,LW,MTL,28,7,2,9,4,6,6,1,0,1,1,1,0,58,12.1,382,13:39,9,23,0,0,\
341,Michael Raffl\\rafflmi01,28,LW,PHI,29,7,2,9,1,13,7,0,0,2,2,0,0,38,18.4,400,13:47,10,52,2,2,50.0\
342,Viktor Stalberg\\stalbvi01,31,LW,CAR,35,7,2,9,-4,25,6,0,1,2,2,0,0,50,14,418,11:56,9,70,0,3,0.0\
343,Sean Couturier\\coutuse01,24,C,PHI,23,6,3,9,-4,14,6,0,0,1,1,1,1,38,15.8,419,18:13,14,17,193,189,50.5\
344,Jamie McGinn\\mcginja01,28,LW,ARI,32,6,3,9,-4,19,6,0,0,2,3,0,0,62,9.7,434,13:34,10,64,0,1,0.0\
345,Jannik Hansen\\hanseja01,30,RW,VAN,18,5,4,9,0,25,5,0,0,1,4,0,0,30,16.7,291,16:11,3,18,0,0,\
346,Jarome Iginla\\iginlja01,39,RW,COL,37,5,4,9,-8,43,3,2,0,0,1,3,0,77,6.5,563,15:12,11,40,8,6,57.1\
